Município ;Código na SEF-MG;Código TOM-SERPRO
IBIRAREMA;197;6491
IBITINGA;198;6493
IBITIUVA;580;7261
IBIUNA;199;6495
ICEM;200;6497
IEPE;201;6499
IGARACU DO TIETE;202;6501
IGARAPAVA;203;6503
IGARATA;204;6505
IGUAPE;205;6507
ILHA COMPRIDA;604;2969
ILHA SOLTEIRA;605;2943
ILHABELA;206;6509
INDAIATUBA;207;6511
INDIANA;208;6513
INDIAPORA;209;6515
INUBIA PAULISTA;210;6517
IPAUSSU;211;6519
IPERO;212;6521
IPEUNA;213;6523
IPIGUA;606;800
IPORANGA;214;6525
IPUA;215;6527
IRACEMAPOLIS;216;6529
IRAPUA;217;6531
IRAPURU;218;6533
ITABERA;219;6535
ITAI;220;6537
ITAJOBI;221;6539
ITAJU;222;6541
ITANHAEM;223;6543
ITAOCA;607;3053
ITAPECERICA DA SERRA;224;6545
ITAPETININGA;225;6547
ITAPEVA;226;6549
ITAPEVI;227;6551
ITAPIRA;228;6553
ITAPIRAPUA PAULISTA;608;3055
ITAPOLIS;229;6555
ITAPORANGA;230;6557
ITAPUI;231;6559
ITAPURA;232;6561
ITAQUAQUECETUBA;233;6563
ITARARE;234;6565
ITARIRI;235;6567
ITATIBA;236;6569
ITATINGA;237;6571
ITIRAPINA;238;6573
ITIRAPUA;239;6575
ITOBI;240;6577
ITU;241;6579
ITUPEVA;242;6581
ITUVERAVA;243;6583
JABORANDI;244;6585
JABOTICABAL;245;6587
JACAREI;246;6589
JACI;247;6591
JACUPIRANGA;248;6593
JAGUARIUNA;249;6595
JALES;250;6597
JAMBEIRO;251;6599
JANDIRA;252;6601
JARDINOPOLIS;253;6603
JARINU;254;6605
JAU;255;6607
JERIQUARA;256;6609
JOANOPOLIS;257;6611
JOAO RAMALHO;258;6613
JOSE BONIFACIO;259;6615
JULIO MESQUITA;260;6617
JUMIRIM;641;802
JUNDIAI;261;6619
JUNQUEIROPOLIS;262;6621
JUQUIA;263;6623
JUQUITIBA;264;6625
LAGOINHA;265;6627
LARANJAL PAULISTA;266;6629
LAVINIA;267;6631
LAVRINHAS;268;6633
LEME;269;6635
LENCOIS PAULISTA;270;6637
LIMEIRA;271;6639
LINDOIA;272;6641
LINS;273;6643
LORENA;274;6645
LOURDES;610;2937
LOUVEIRA;275;6647
LUCELIA;276;6649
LUCIANOPOLIS;277;6651
LUIS ANTONIO;278;6653
LUIZIANIA;279;6655
LUPERCIO;280;6657
LUTECIA;281;6659
MACATUBA;282;6661
MACAUBAL;283;6663
MACEDONIA;284;6665
MAGDA;285;6667
MAIRINQUE;286;6669
MAIRIPORA;287;6671
MANDURI;288;6673
MARABA PAULISTA;289;6675
MARACAI;290;6677
MARAPOAMA;611;2977
MARIAPOLIS;291;6679
MARILIA;292;6681
MARINOPOLIS;293;6683
MARTINOPOLIS;294;6685
MATAO;295;6687
MAUA;296;6689
MENDONCA;297;6691
MERIDIANO;298;6693
MESOPOLIS;612;2983
MIGUELOPOLIS;299;6695
MINEIROS DO TIETE;300;6697
MIRA ESTRELA;301;6701
MIRACATU;302;6699
MIRANDOPOLIS;303;6703
MIRANTE DO PARANAPANEMA;304;6705
MIRASSOL;305;6707
MIRASSOLANDIA;306;6709
MOCOCA;307;6711
MOGI DAS CRUZES;308;6713
MOGI-GUACU;309;6715
MOGI-MIRIM;310;6717
MOMBUCA;311;6719
MONCOES;312;6721
MONGAGUA;313;6723
MONTE ALEGRE DO SUL;314;6725
MONTE ALTO;315;6727
MONTE APRAZIVEL;316;6729
MONTE AZUL PAULISTA;317;6731
MONTE CASTELO;318;6733
MONTE MOR;319;6737
MONTEIRO LOBATO;320;6735
MORRO AGUDO;321;6739
MORUNGABA;322;6741
MOTUCA;581;7263
MURUTINGA DO SUL;323;6743
NANTES;642;804
NARANDIBA;324;6745
NATIVIDADE DA SERRA;325;6747
NAZARE PAULISTA;326;6749
NEVES PAULISTA;327;6751
NHANDEARA;328;6753
NIPOA;329;6755
NOVA ALIANCA;330;6757
NOVA CAMPINA;613;3061
NOVA CANAA PAULISTA;614;2985
NOVA CASTILHO;643;806
NOVA EUROPA;331;6759
